,mineral_name,2v,art & architecture thesaurus id (p1014),babelnet id (p2581),birefringence,caption,class,cleavage,colour,commons category (p373),crystal system (p556),dana,dana 8th edition (p714),density,described by source (p1343),description,diaphaneity,dispersion,elhuyar zth id (p4746),encyclopædia britannica online id (p1417),encyclopædia universalis id (p3219),fluorescence,fracture,freebase id (p646),google knowledge graph id (p2671),gran enciclopèdia catalana id (p1296),gravity,great russian encyclopedia online id (p2924),habit,"ima number, broad sense (p484)",ima status and/or rank (p579),kbpedia id (p8408),kivid.info id (p7348),luster,microsoft academic id (p6366),mindat mineral id (p6263),mohs,mohs' hardness (p1088),molweight,name,named after (p138),"nickel-strunz '10th ed', review of (9th ed/ 2009 update) (p713)",nickel-strunz 9th edition (updated 2009) (p712),opticalprop,other,pleochroism,refractive,solid solution series with (p2155),solubility,space group (p690),store norske leksikon id (p4342),streak,streak color (p534),strunz,"strunz 8th edition (series id, updated) (p711)",subclass of (p279),symmetry,system,tenacity,twinning,type locality (geology) (p2695),unit cell,wolfram language entity code (p4839)
1486,wohlerite,Measured: 70°- 77° <br />Calculated: 70° to 76°,,,0.026,,[[H-M Symbol]]: 2 <br />Sphenoidal,"Distinct on {010} <br />Poor on {100}, {110}",,Wöhlerite,monoclinic crystal system (Q624543),56.2.4.5,56.2.4.5,,"Ueber den Wöhlerit, eine neue Mineralspecies (Q100758080)",,"Transparent, translucent",Weak <br />r > v,,,,None,"Irregular, uneven, splintery",,/g/121kq829,,3.40 - 3.44,,,,grandfathered mineral (G) (Q13406846),,1066.0,Vitreous,,,5.5 - 6,,,,Friedrich Wöhler (Q58575),9.BE.17,9.BE.17,Biaxial (-),,Weak,''n''<sub>α</sub> = 1.700 - 1.705 <br />''n''<sub>β</sub> = 1.716 - 1.720 <br />''n''<sub>γ</sub> = 1.726 - 1.728,,,space group P2₁ (Q13365444),wöhleritt,Pale yellow,,9.BE.17,VIII/C.11,wöhlerite mineral group (Q3777868),''P''2<sub>1</sub>,[[Monoclinic]],Brittle,Twin planes common on {010},,764.21,
1487,wollastonite,Measured: 36° to 60°,,,δ = 0.015 max,,Pinacoidal ( {{overline|1}} ) <br/><small>(same [[H-M symbol]])</small>,Perfect in two directions at near 90°,,Wollastonite,triclinic crystal system (Q376927),,65.2.1.1c,,"['Armenian Soviet Encyclopedia (Q2657718)', 'Brockhaus and Efron Encyclopedic Dictionary (Q602358)', ""Nouveau Dictionnaire d'Histoire Naturelle (Q41650899)""]",Single chain calcium inosilicate (CaSiO3),Transparent to translucent,,31878.0,science/wollastonite,,,Splintery to uneven,/m/03ks89,,0151377,2.86–3.09,1926268,"Rare as tabular crystals—commonly massive in lamellar, radiating, compact and fibrous aggregates.",IMA1962 s.p.,approved mineral and/or valid name (A) (Q13406835),Wollastonite,548.0,Vitreous or dull to pearly on cleavage surfaces,2779405210,,4.5 to 5.0,,116.159 {{nbsp}} g/mol,Wollastonite,William Hyde Wollaston (Q312975),9.DG.05,9.DG.05,Biaxial (-),"Heat of Formation (@298): -89.61kJ<br>
Gibbs Free Energy: 41.78kJ",,n<sub>α</sub> = 1.616–1.640 <br/>n<sub>β</sub> = 1.628–1.650 <br/>n<sub>γ</sub> = 1.631–1.653,,"Soluble in HCl, insoluble in water",space group P-1 (Q104519742),wollastonitt,White,white (Q23444),9.DG.05,VIII/F.18,wollastonite mineral group (Q3777865),''P'' {{overline|1}} (1A polytype),[[Triclinic]] <br/>[[Monoclinic]] [[Polymorphism (materials science)|polytype]] exists,,Common,,"a = 7.925&nbsp;[[Ångström|Å]], b = 7.32&nbsp;Å, <br/>c = 7.065&nbsp;Å; α = 90.055°, <br/>β = 95.217°, γ = 103.42°; Z&nbsp;=&nbsp;6",
1488,woodhouseite,,,,δ = 0.011,"Woodhouseite from the type locality, the Champion Mine, [[Mono County]], California, US. Specimen width is 2.8 cm",Hexagonal scalenohedral ( {{overline|3}} 2/m),Excellent on {0001},,Woodhouseite,trigonal crystal system (Q588274),43.04.01.08,43.4.1.8,,"Woodhouseite, a new mineral of the beudantite group (Q30080374)",,Transparent to translucent,,,,,,,/m/0b76pdb,,,(measured): 3.012 	(calculated): 3.00,,"Crystals small, pseudocubic rhombohedral {1012}; tabular at times {0001}, with curved and striated faces.",IMA1987 s.p.,redefined mineral (Rd) (Q13406872),,,"Vitreous, pearly on {0001}",2777222904,,4.5,,414.10 g/mol,Woodhouseite,Charles D. Woodhouse (Q18704389),8.BL.05,8.BL.05,"Uniaxial (+), 2V = 0° to 20°",Not radioactive.,,(AM22) nω = 1.636<br>nε = 1.647,,Soluble in acids only after driving off the water in a closed tube.,space group R-3m (Q15040834),woodhouseitt,White,white (Q23444),8.BL.05,VII/B.35,beudantite mineral group (Q3777629),''R {{overline|3}} m'' (no. 166),[[Trigonal]],,,White Mountain Peak (Q4468440),,
1489,wulfenite,,,,δ = 0.122,,Dipyramidal (4/m) <br/>[[H-M symbol]]: (4/m),"On {011}, distinct; on {001}, {013}, indistinct",,Wulfenite,tetragonal crystal system (Q503601),,48.1.3.1,,Handbuch der Bestimmenden Mineralogie (Q36923334),,Transparent to opaque,,8286.0,science/wulfenite,wulfenite,None,Irregular to sub-conchoidal,/m/02xl5t,,,6.5-7.0,,Thin tabular to pyramidal,,grandfathered mineral (G) (Q13406846),Wulfenite,486.0,"Adamantine, resinous",2777352486,4322,3,"[{'amount': '+2.5', 'unit': '1'}, {'amount': '+3', 'unit': '1'}]",,Wulfenite,Franz Xaver von Wulfen (Q698014),7.GA.05,7.GA.05,"Uniaxial (-), may be anomalously biaxial",Specimens may be [[piezoelectric]],Weak; orange and yellow,n<sub>ω</sub> = 2.405 n<sub>ε</sub> = 2.283,stolzite (Q424910),,space group I4₁/a (Q13400810),wulfenitt,White,white (Q23444),7.GA.05,VI/G.01,scheelite mineral group (Q3777810),''I''4<sub>1</sub>/a,[[Tetragonal]],Brittle,Twins on the [001] common,,"a = 5.433, c = 12.110&nbsp;[Å]; Z&nbsp;=&nbsp;4",
1490,wulffite,,,,δ = 0.133,,mm2 - Pyramidal,Perfect along {100} and good along {010},,,orthorhombic crystal system (Q648961),,,3.23 g/cm<sup>3</sup>,,,Transparent,,,,,,stepped,,/g/11g0gdgx8j,,,,Coarse rismatic crystals,IMA2013-035,approved mineral and/or valid name (A) (Q13406835),,,Vitreous,,,2.5,,810.69,Wulffite,George Wulff (Q907171),,,Biaxial positive,,strong,n<sub>α</sub>= 1.582 n<sub>β</sub>= 1.610 n<sub>γ</sub>= 1.715,,Yes,space group Pn2₁a (Q103889258),,light green,,,,sulfate class of minerals (Q764802),Pn2<sub>1</sub>a (no. 33),[[Orthorhombic]],Clusters and crusts,,Arsenatnaya fumarole (Q24287217),"a = 14.2810&nbsp;[[Ångström|Å]], b = 4.9478&nbsp;Å <br/>c = 24.1127&nbsp;Å; <br/>β= 106.24°; Z&nbsp;=&nbsp;4",
1491,wurtzite,,,,δ = 0.022,,Dihexagonal pyramidal (6mm) <br/>[[H-M symbol]]: (6mm),[11 {{overline|2}} 0] and [0001],,Wurtzite,hexagonal crystal system (Q663314),02.08.07.01,2.8.7.1,,,,Translucent,,,science/wurtzite,,,Uneven - irregular,/m/0476jx,,0151385,"4.09 measured, 4.10 calculated",,Radial clusters and colloform crusts and masses. Also as tabular crystals,,grandfathered mineral (G) (Q13406846),Wurtzite,274.0,"Resinous, brilliant submetallic on crystal faces",,,3.5-4,,,Wurtzite,Charles-Adolphe Wurtz (Q366051),2.CB.45,2.CB.45,Uniaxial (+),"Nonmagnetic, non-radioactive",,n<sub>ω</sub> = 2.356 n<sub>ε</sub> = 2.378,,,space group P6₃mc (Q15041640),wurtzitt,light brown,brown (Q47071),2.CB.45,II/C.13,wurtzite mineral group (Q3777867),''P''6<sub>3</sub>mc,[[Hexagonal crystal system|Hexagonal]],,,,,
1492,wustite,,,,,,Hexoctahedral (m {{Overline|3}} m) <br/>[[H–M symbol]]: (4/m {{Overline|3}} 2/m),{001} perfect,,Wüstite,cubic crystal system (Q473227),,4.2.1.6,5.7 g/cm<sup>3</sup>,"Gleichgewichtsuntersuchungen über die Reduktions-, Oxydations- und Kohlungsvorgänge beim Eisen. III. (Q63347593)",,,,,,,,Subconchoidal to rough,/m/01_zd2,,,5.88,,"Pyramidic, prismatic",,grandfathered mineral (G) (Q13406846),,,,2779193389,,5–5.5,,,Wüstite,Fritz Wüst (Q1469006),4.AB.25,4.AB.25,,Forms solid solution with [[periclase]],None,1.735–2.32 in synthetic crystals,,Soluble in dilute [[hydrochloric acid|HCl]],space group Fm-3m (Q15041893),,,,4.AB.25,IV/A.04,periclase mineral group (Q3777513),''Fm3m'' (no. 225),[[Cubic crystal system|Cubic]],,,,,
1493,wyartite,,,,,,Disphenoidal (222) <br/>[[Space group]]: (222),,,,orthorhombic crystal system (Q648961),,16b.7.4.1,,,Uranium bearing crystal,"transparent, translucent, opaque",,,,,,,/m/0b__dv,,,,,,IMA1962 s.p.,approved mineral and/or valid name (A) (Q13406835),,,"vitreous, sub-metallic, dull",,,,,,Wyartite,Jean Wyart (Q3175119),5.EA.15,5.EA.15,,[[Image:Radioactive.svg|25px]] [[Radioactive]],,,,,space group P2₁2₁2₁ (Q13371295),,,,5.EA.15,V/F.05,carbonate and nitrate class of minerals (Q1073138),''P''2<sub>1</sub>2<sub>1</sub>2<sub>1</sub>,[[Orthorhombic]],,,Shinkolobwe mine (Q2096071),,
1494,xanthiosite,,,,,Xanthiosite and [[aerugite]],Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,,,Xanthiosite,monoclinic crystal system (Q624543),,38.3.2.1,,Ueber einige Nickelerze (Q34721027),,Translucent,,,,,,,/m/047b05v,,,5.37 - 5.47,,,IMA1965 s.p.,approved mineral and/or valid name (A) (Q13406835),,,,,,4,"{'amount': '+4', 'unit': '1'}",453.91 g/mol,Xanthiosite,"['yellow (Q943)', 'sulfur (Q682)']",8.AB.25,8.AB.25,,,,,,,space group P2₁/c (Q102054304),,,,8.AB.25,VII/A.09,sarcopside mineral group (Q18203822),''P''2<sub>1</sub>/a,[[Monoclinic]],,,"['Johanngeorgenstadt (Q57903)', 'St Stephen-in-Brannel (Q2146886)']",,
1495,xanthoconite,,,,,"Xanthoconite from Imiter Mine, Boumalne-Dadès, Ouarzazate Province, Souss-Massa-Draâ Region, Morocco",Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,,,Xanthoconite,monoclinic crystal system (Q624543),,3.4.2.1,,,,Subtranslucent - opaque,,,,,,,/m/012z6v9z,,,"5.54, range 5.5 - 5.6",,,,grandfathered mineral (G) (Q13406846),,861.0,[[Adamantine lustre|Adamantine]],,,2.5 - 3.0,,494.72 g/mol,Xanthoconite,"['yellow (Q943)', 'powder (Q2908004)']",2.GA.10,2.GA.10,,,,,,,space group C2/c (Q103888918),,,,2.GA.10,II/E.07,sulfosalt subclass of minerals (Q416949),''C2/c'',[[Monoclinic]],,,Himmelsfürst mine (Q1619152),,
1496,xanthoxenite,,,,,,Pinacoidal ( {{overline|1}} ) <br/><small>(same [[H-M symbol]])</small>,Perfect {010},,,triclinic crystal system (Q376927),,42.11.15.1,,Phosphatführende Pegmatite des Oberpfälzer und Bayerischen Waldes (Q100758814),,Translucent,,,,,,,/m/04796wm,,,"2.97 measured, 3.38 calculated",,Occurs as platy crystals and as lamellar aggregates and crusts,IMA1975-004a,redefined mineral (Rd) (Q13406872),,1187.0,Earthy (dull),,,2.5,,739.95 g/mol,Xanthoxenite,"['cacoxenite (Q419281)', 'yellow (Q943)', 'compound (Q245423)']",8.DH.40,8.DH.40,Biaxial (-),,,n<sub>α</sub> = 1.704 n<sub>β</sub> = 1.715 n<sub>γ</sub> = 1.724,,,"['triclinic-pedial (Q13364996)', 'space group P-1 (Q104519742)']",,White,white (Q23444),8.DH.40,VII/D.30,phosphate class of minerals (Q3092395),''P'' {{overline|1}},[[Triclinic]],,,"['Palermo No. 1 mine (Q23933961)', 'Hennenkobel (Q1605368)']","a = 6.7&nbsp;[[Ångström|Å]], b = 8.85&nbsp;Å <br/>c = 6.54&nbsp;Å; α = 92.1° <br/>β = 110.1°, γ = 93.2°; Z&nbsp;=&nbsp;1",
1497,xenophyllite,,,,,,[[Phosphate minerals]],,,,triclinic crystal system (Q376927),,,,,,,,,,,,,/m/012z6vmv,,,4.72,,,IMA2006-006,approved mineral and/or valid name (A) (Q13406835),,,,,,,,"1,052.72 g/mol",Xenophyllite,"['leaf (Q33971)', 'foreigner (Q473741)']",8.AC.50,8.AC.50,,,,,,,,,,,8.AC.50,VII/A.08,phosphate class of minerals (Q3092395),,[[Triclinic]] <br/>Unknown space group,,,Augustinovka meteorite (Q24121264),,
1498,xenotime,,,,δ = 0.096,Xenotime with [[rutile]],Dipyramidal (4/mmm) <br/>[[H-M symbol]]: (4/m),Perfect [100],,Xenotime,tetragonal crystal system (Q503601),,38.4.11.1,,,Phosphate mineral,Translucent to opaque,,31919.0,science/xenotime,xenotime,,Uneven to splintery,/m/04qdtx,,,4.4–5.1,,"Prismatic, radial aggregates, granular",IMA1987 s.p.,approved mineral and/or valid name (A) (Q13406835),Xenotime,1100.0,Vitreous to resinous,,,4.5,,,Xenotime,,8.AD.35,8.AD.35,,Not radioactive or luminescent,Dichroic,1.720–1.815,,,space group I4₁/amd (Q15027440),,"Pale brown, yellowish or reddish, to white",,8.AD.35,VII/A.14,xenotime mineral group (Q3777882),''I''4<sub>1</sub>/a,[[Tetragonal]],,,,,
1499,xiangjiangite,,,,,,[[Phosphate minerals]],,,,tetragonal crystal system (Q503601),,43.5.6.1,,,,Semitransparent,,,,,,,/m/012z6pkt,,,3.47,,Microscopic crystals; platy,IMA1982 s.p.,approved mineral and/or valid name (A) (Q13406835),,,[[Lustre_(mineralogy)#Silky_lustre|Silky]],,,1 - 2,,453.91 g/mol,Xiangjiangite,Xiang River (Q831884),8.EB.05,8.EB.05,,,,,,,,,Light yellow,,8.EB.05,VII/E.06,phosphate class of minerals (Q3092395),,[[Tetragonal]] <br/>Unknown space group,,,,,
1500,xieite,,,,,,Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m),,,,orthorhombic crystal system (Q648961),,,,,,,,,,,,,/m/012z6q24,,,5.63,,,IMA2007-056,approved mineral and/or valid name (A) (Q13406835),,,,2777447670,,,,453.91 g/mol,Xieite,"Xiande, Xie (Q9345257)",4.BB.25,4.BB.25,,,,,,,space group 63 (Q13400737),,,,4.BB.25,,oxide class of minerals (Q945532),''Bbmm'',[[Orthorhombic crystal system|Orthorhombic]],,,Suizhou (Q2363979),a = 9.462(6)&nbsp;[[Ångström|Å]] <br/>b = 9.562(9)&nbsp;Å <br/>c = 2.916(1)&nbsp;Å: Z&nbsp;=&nbsp;4,
1501,xifengite,,,,,,Dihexagonal dipyramidal (6/mmm) <br/>[[H-M symbol]]: (6/m 2/m 2/m),,,,hexagonal crystal system (Q663314),,1.1.23.3,,,,Opaque,,,,,,,/m/09g43p,,,,,As inclusions,IMA1983-086,approved mineral and/or valid name (A) (Q13406835),,,Metallic,2777276727,,5,,,Xifengite,Xifengkou (Q2598217),1.BB.40,1.BB.40,,,,,,,space group P6₃/mcm (Q15041649),,Black,black (Q23445),1.BB.40,I/A.12,silicide and germanide family of minerals (Q58887467),''P''6<sub>3</sub>/mcm,[[Hexagonal crystal system|Hexagonal]],,,Placer occurrences (Yanshan meteorite) (Q34724893),a = 6.759(5) <br/>c = 4.720(5)&nbsp;[Å]; Z&nbsp;=&nbsp;2,
1502,xilingolite,,,,,,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,,,,monoclinic crystal system (Q624543),,3.4.16.1,,,,opaque,,,,,,,/m/0ddctx3,,,7.08,,Elongated and striated prismatic crystals,IMA1982-024,approved mineral and/or valid name (A) (Q13406835),,,Metallic,,,3 (calcite),,"1,231.96 g/mol",Xilingolite,Xilin Gol (Q22695535),2.JB.40a,2.JB.40a,,,,,,,space group C2/m (Q104021301),,Grey,grey (Q42519),2.JB.40a,II/E.31,lillianite mineral group (Q13107728),''C2/m'',[[Monoclinic]],,On {001},,"a = 13.65&nbsp;[[Ångström|Å]], b = 4.07&nbsp;Å <br/>c = 20.68&nbsp;Å; β = 93°; Z&nbsp;=&nbsp;4",
1503,ximengite,,,,,,Trapezohedral (32) <br/>[[H-M symbol]]: (32),,,,trigonal crystal system (Q588274),,38.4.9.1,,,,Transparent,,,,,,,/m/012z6yy9,,,5.53,,,IMA1985-004,approved mineral and/or valid name (A) (Q13406835),,,[[Lustre_(mineralogy)#Vitreous|Vitreous]] - [[Lustre_(mineralogy)#Greasy|Greasy]],,,4.5,,303.95 g/mol,Ximengite,Ximeng Va Autonomous County (Q1153253),8.AD.45,8.AD.45,,,,,,,space group P3₁21 (Q15040807),,,,8.AD.45,VII/A.18,"['rhabdophane structural group (Q3777796)', 'bismuth phosphate (Q4492115)']",''P''3<sub>1</sub>21 or ''P''3<sub>2</sub>21,[[Trigonal crystal system|Trigonal]],,,Ximeng Va Autonomous County (Q1153253),,
1504,xingzhongite,,,,,,Hexoctahedral (m {{Overline|3}} m) <br/>[[H-M symbol]]: (4/m {{Overline|3}} 2/m),,,,cubic crystal system (Q473227),,2.8.4.1,,,,Opaque,,,,,,,/m/012z6qky,,,6.49,,,IMA1980 s.p.,questionable (Q) (Q13406891),,,[[Lustre_(mineralogy)#Metallic_lustre|Metallic]],,,6,,645.53 g/mol,Xingzhongite,naming locality (Q22815296),2.DA.05,2.DA.05,,,,,,,space group Fd-3m (Q15041895),,,,2.DA.05,II/D.02,linnaeite mineral group (Q3777732),''F''d {{Overline|3}} m,[[Isometric crystal system|Isometric]],,,,,
1505,xitieshanite,Measured: 77°,,,δ = 0.092,,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,Uncertain / indistinct,,,monoclinic crystal system (Q624543),,31.9.6.3,,,,Transparent to translucent,r > v,,,,,[[Conchoidal fracture|Conchoidal]] to uneven,/m/012z72fm,,,1.99,,[[Acicular (crystal habit)|Acicular]],IMA1982-044,approved mineral and/or valid name (A) (Q13406835),,,[[Lustre (mineralogy)#Vitreous|Vitreous]],,,2.5 - 3,,313.47 g/mol,Xitieshanite,Xitieshan mine (Q24261879),7.DC.20,7.DC.20,Biaxial (-),,Colorless (x) to pale yellow (y) to light greenish yellow (z0,nα = 1.536 nβ = 1.570 nγ = 1.628,,,space group P2₁/a (Q102054162),,Yellow,yellow (Q943),7.DC.20,VI/D.01,sulfate class of minerals (Q764802),''P''2<sub>1</sub>/a,[[Monoclinic]],,,Xitieshan mine (Q24261879),"a = 14.1&nbsp;[[Ångström|Å]], b = 6.9&nbsp;Å <br/>c = 10.67&nbsp;Å; β = 111.26°; Z&nbsp;=&nbsp;4",
1506,xocolatlite,,,,,"Moctezuma Mine, Moctezuma, Municipio de Moctezuma, Sonora, Mexico",Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,,,Xocolatlite,monoclinic crystal system (Q624543),,,4.1 g/cc,,Hydrous Te(VI) oxysalt mineral,Transparent,,,,,,[[Conchoidal fracture|Conchoidal]],/m/012z87h1,,,4.10 g/cc,,[[Mineral habit#Encrustation|Encrustations]]; [[Micaceous]],IMA2007-020,approved mineral and/or valid name (A) (Q13406835),,,[[Lustre_(mineralogy)#Vitreous|Vitreous]],,,2-3,,655.24 g/mol,Xocolatlite,chocolate (Q195),7.DF.85,7.DF.85,,,,,,,"['space group P2 (Q13365443)', 'space group P2/m (Q13365569)', 'space group Pm (Q13365557)', 'space group P2₁ (Q13365444)', 'space group P2₁/m (Q13365570)']",,Copper brown,,7.DF.85,,tellurium oxysalt family (Q19866412),''P2/m'',[[Monoclinic]],,,Moctezuma mine (Q26452588),,
1507,xocomecatlite,Measured: 41°,,,δ = 0.145,"Xocomecatlite (green) in quartz matrix, collected from Trixie Mine, East Tintic District, [[East Tintic Mountains]], Utah, United States",Tellurate mineral,,,Xocomecatlite,orthorhombic crystal system (Q648961),,33.1.2.1,,,,Translucent,,,,,,,/m/04794_g,,,4.65,,Aggregates of radial to spherulitic or botryoidal acicular crystals,IMA1974-048,approved mineral and/or valid name (A) (Q13406835),,,,,,4,,450.26 g/mol,Xocomecatlite,grape (Q10978),7.BB.50,7.BB.50,Biaxial (-),,Rich bluish greens,n<sub>α</sub> = 1.775 n<sub>β</sub> = 1.900 n<sub>γ</sub> = 1.920,,,,,light green,,7.BB.50,IV/K.15,"['sulfate class of minerals (Q764802)', 'tellurium oxysalt family (Q19866412)']",,[[Orthorhombic]] <br/>Unknown space group,Brittle,,Oriental mine (Q26453226),"a = 12.14&nbsp;[[Ångström|Å]], b = 14.31&nbsp;Å <br/>c = 11.66&nbsp;Å; Z&nbsp;=&nbsp;12",
1508,xonotlite,,,,,Combination piece with radial fibrous inesite and xonotlite,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,,,Xonotlite,monoclinic crystal system (Q624543),66.3.1.1,66.3.1.1,,,,,,,,,,,/m/09hfg0,,,,,,,grandfathered mineral (G) (Q13406846),,1131.0,,2776962427,,,,,Xonotlite,Tetela de Xonotla (Q29588592),9.DG.35,9.DG.35,,,,,,,space group P2/a (Q102195560),,,,9.DG.35,VIII/F.21,xonotlite mineral group (Q19860393),''P2/a'',[[Monoclinic]],,,Tetela de Xonotla (Q29588592),,
1509,yagiite,,,,,,9.CM.05 ([[Strunz classification|Strunz]]),,,,hexagonal crystal system (Q663314),,63.2.1a.10,2.70 g/cm<sup>3</sup>,,,semitransparent,,,,,,,,/g/120x6lq4,,,,Interstitial in a silicate inclusion surrounded by nickel-iron,IMA1968-020,approved mineral and/or valid name (A) (Q13406835),,,,,,5 a 6 ([[Mohs scale of mineral hardness|Mohs]]),,1991.71,Yagiite,Kenzō Yagi (Q11391309),9.CM.05,9.CM.05,,,"low, blue to colourless",,,,space group P6/mcc (Q15041648),,,,,VIII/E.22,milarite mineral group (Q3777751),,"[[Hexagonal crystal family|Hexagonal]], dipyramidal dihexagonal",,,,,"Entity[""Mineral"", ""Yagiite""]"
1510,yangite,77° (measured),,,δ = 0.015,,pinacoidal,perfect on {101},,,triclinic crystal system (Q376927),,,,,,,,,,,,,,/g/11cpfzzqkv,,4.14 g/cm<sup>3</sup> (measured) 4.16 g/cm<sup>3</sup> (calculated),,bladed or platy,IMA2012-052,approved mineral and/or valid name (A) (Q13406835),,,vitreous,,,5,,,Yangite,Hexiong Yang (Q15989262),,,,,,,,"insoluble in water, acetone, or hydrochloric acid",space group P-1 (Q104519742),,white,,,,inosilicates (Q279440),,triclinic,sectile,not observed,Kombat (Q119701),"a = 9.6015(9) Å, b = 7.2712(7) Å, c = 7.9833(8) Å
α = 105.910(4)°, β = 118.229(4)°, γ = 109.938(5)°",
1511,ye'elimite,,,,,"Ye'elimite (white) intergrown with Hydroxylellestadite (reddish-brown) in grey Anhydrite from [[Ronneburg, Thuringia]], Germany (Picture size 6&nbsp;mm)",Gyroidal (432) <br/>[[H-M Symbol]]: (432),,,Ye'elimite,cubic crystal system (Q473227),,25.4.12,,,,,,,,,,,/m/025w1d3,,,,,,IMA1984-052,approved mineral and/or valid name (A) (Q13406835),,,,2779204078,,,,,Ye'elimite,Har Ye'elim (Q22873795),7.BC.15,7.BC.15,,,,,,,space group I4₁32 (Q15041879),,,,7.BC.15,VI/B.04,sulfate class of minerals (Q764802),''I''4<sub>1</sub>32,[[Cubic crystal system|Isometric]],,,Har Ye'elim (Q22873795),a= 18.392&nbsp;Å; Z&nbsp;=&nbsp;16,
1512,yingjiangite,Measured: 36°- 38° <br />Calculated: 36°,,,0.041,,Dipyramidal <br />[[H-M Symbol]]: ''mmm'' <br />(2/m 2/m 2/m),None observed,,Yingjiangite,orthorhombic crystal system (Q648961),42.6.12.1,42.6.12.1,4.15,,Flourescent yellow mineral,,r > v or r < v,,,,Fluorescent,,,/g/1225qggg,,4.15,,,IMA1989-001,approved mineral and/or valid name (A) (Q13406835),,,"Subadamantine, subvitreous, rsinous",,,3 - 4,,,,Yingjiang County (Q1200800),8.EC.10,8.EC.10,Biaxial (-),[[Image:Radioactive.svg|25px]][[Radioactive]],Visible,n<sub>α</sub> = 1.666 - 1.669 <br />n<sub>β</sub> = 1.692 - 1.703 <br />n<sub>γ</sub> = 1.707 - 1.710,,,space group 63 (Q13400737),,Yellow to pale yellow,,8.EC.10,VII/E.07,phosphate class of minerals (Q3092395),,Orthorhombic,Brittle,,Tongbiguan Xiang (Q14286548),"3,747.21",
1513,yttriaite-(y),,,,,,[[Oxide minerals]],Distinct - good,,,cubic crystal system (Q473227),,,,,,,,,,,,Conchoidal,,/g/11clygnjwz,,5.073,,,IMA2010-039,approved mineral and/or valid name (A) (Q13406835),,,Adamantine,,,5 - 6,,,Yttriaite-(Y),yttrium oxide (Q414685),,,,,,n = 1.931,,,space group Ia-3 (Q15041871),,White,,,,"['oxide class of minerals (Q945532)', 'yttrium oxide (Q414685)']",,[[Cubic crystal system|Isometric]],,,,a = 10.6018&nbsp;Å; Z&nbsp;=&nbsp;16,
1514,yttrialite-(y),,,,,Yttrialite-(Y) found in Finland,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,,,Yttrialite-(Y),monoclinic crystal system (Q624543),,55.2.1b.3,,"A description of several yttria and thoria minerals from Llano County, Texas (Q58312413)",,,,,,,,,/m/0c7x4s,,,,,,IMA1987 s.p.,"approved mineral, renamed (Rn) (Q13406860)",,,,2777044101,,,,,Yttrialite-(Y),yttrium (Q941),9.BC.05,9.BC.05,,[[Image:Radioactive.svg|25px]] [[Radioactive]],,,,,space group P2₁/m (Q13365570),yttrialitt-(Y),,,9.BC.05,VIII/C.01,thortveitite mineral group (Q3777836),''P''2<sub>1</sub>/m,[[Monoclinic]],,,,,
1515,yuanfuliite,,,,,,,,,Yuanfuliite,orthorhombic crystal system (Q648961),,24.2.2.2,,,,,,,,,,,,/g/120j3b0s,,,,,IMA1994-001,approved mineral and/or valid name (A) (Q13406835),,,,,,5-6,,,,Yuan Fuli (Q2601546),6.AB.20,6.AB.20,,,,,,,space group Pnma (Q103889730),,,,,V/G.03,borate class of minerals (Q3447203),,Orthorhombic,,,Kuandian Manchu Autonomous County (Q1367572),,
1516,yuksporite,,,,,"Yuksporite from the [[Khibiny Massif]], Kola Peninsula, Russia (4&nbsp;cm across)",Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,,,Yuksporite,monoclinic crystal system (Q624543),66.3.1.5,66.3.1.5,,,,Semitransparent,,,,,,,/m/03wcnt0,,,3.05,,"Fibrous, scaly or lamellar",,grandfathered mineral (G) (Q13406846),,,"Vitreous, silky",2781017450,,{{frac|4|1|2}} to 5,,"2,546.97 g/mol",'''Yuksporite''',Mount Yukspor (Q22855698),9.DG.95,9.DG.95,Biaxial,Barely detectable radioactivity,"X pale rose-yellow, Y, Z rose-yellow","n<sub>α</sub> = 1.644, n<sub>γ</sub> = 1.660",,,space group P2/m (Q13365569),,Nearly white to white,,9.DG.95,VIII/F.35,inosilicates (Q279440),''P''2/m,[[Monoclinic]],,,Hackman valley (Q53810011),,
