,Chemical Formula,Composition,Empirical Formula,Environment,IMA Status,Locality,Name Origin,Name Pronunciation,Synonym,Cell Dimensions,Cleavage,Color,Density,Diaphaneity,Fracture,Habit,Hardness,Luster,Fermion Index,Photoelectric,Radioactivity,Dana Class,Strunz Class,References,Mineral name,Streak,Gladstone-Dale,Optical Data
10, CO(CH3)(NH2), Molecular Weight = 59.07 gm, CO(CH3)(NH2),, Approved IMA 1975," Russia, L'vov-Volynskii Basin Link to MinDat.org Location Data."," For ACETic acid and AMIDE, for ammonia in its composition.", Acetamide + Pronunciation, Ethanamide," a = 11.44, c = 13.5, Z = 18; V = 1,530.09 Den(Calc)= 1.15",," Colorless, Gray.", 1.17, Transparent to Translucent,,, 1-1.5 - Talc or a little harder,," Fermion Index = 0.24
Boson Index = 0.76"," PEAcetamide = 0.23 barns/electron
U=PEAcetamide x rElectron Density= 0.29 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Acetamide is Not Radioactive", 50.04.07.01 (50)Salts of Organic Acids, 10.AA.20 10 - ORGANIC COMPOUNDS," NAME( Dana8) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Acetamide, white,," Uniaxial (-), e=1.46, w=1.495, bire=0.0350."
11, FeSe, Molecular Weight = 134.81 gm, Fe2+Se, Same as synthetic delta-Fe7S8 with niccolite structure type. Needs additional work., Valid Species (Pre-IMA) 1939 (Dana # Added)," Cerro de Cacheuta, Mendoza, Argentina. Link to MinDat.org Location Data.", Named for L. Achaval.,, ICSD 29308," a = 3.636, c = 5.946, Z = 2; V = 68.08 Den(Calc)= 6.58",, Gray., 6.53, Opaque,,, 2.5 - Finger Nail, Metallic," Fermion Index = 0.05
Boson Index = 0.95"," PEAchavalite = 59.64 barns/electron
U=PEAchavalite x rElectron Density= 349.34 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Achavalite is Not Radioactive", 02.08.11.11 (02)Sulfides - Including Selenides and Tellurides," 02.CC.05 02 - SULFIDES and SULFOSALTS (sulfides, selenides, tellurides; arsenides, antimonides, bismuthides; sulfarsenites, sulf"," PHYS. PROP.(Enc. of Minerals,2nd ed.,1990)",Achavalite,,,
12," (Na2,Ca,K2)4Al4Si20O48•13(H2O)"," Molecular Weight = 1,808.84 gm", Na2.59Ca0.53K0.71Mg0.04Ba0.01Al4.86Fe3+0.11Si19.61O48·13.43(H2O), Secondary mineral hydrothermally altered from calc-alkalic to alkalic volcanic and plutonic rocks., Approved IMA 1977," From La Pallaccia and Orli di Fassa, Alpe di Siusi, Trentoin-Alto Adige, Italy. Link to MinDat.org Location Data.", Named for its relationship to dachiardite and the sodium content., Dachiardite-Na + Pronunciation, Achiardite," a = 18.647, b = 7.506, c = 10.296, Z = 1; beta = 108.37° V = 1,367.64 Den(Calc)= 2.20"," {1} Perfect, {1} Perfect"," Colorless, White, Reddish orange.", 2.16, Transparent to translucent, Brittle - Uneven - Very brittle fracture producing uneven fragments., Divergent - Crystals radiate from a center without producing stellar forms., 4-5 - Fluorite-Apatite, Vitreous - Greasy," Fermion Index = 0.01
Boson Index = 0.99"," PEDachiardite-Na = 2.15 barns/electron
U=PEDachiardite-Na x relectron= 4.70 barns/cc.","
GRapi = 22.34 (Gamma Ray American Petroleum Institute Units)
Concentration of Dachiardite-Na per GRapi unit = 4.48 (%)
Estimated Radioactivity from Dachiardite-Na - barely detectable", 77.01.06.05 (77)Tectosilicate Zeolite group, 09.GD.40 09 - SILICATES (Germanates)," NAME( AntBidBlaNic2) PHYS. PROP.(AntBidBlaNic2, CanMin, v 35, p 1580) OPTIC PROP.(AntBidBlaNic2)",Dachiardite-Na, white," CI meas= 0.024 (Excellent) - where the CI = (1-KPDmeas/KC)
CI calc= 0.041 (Good) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2173,KPDmeas= 0.2213,KC= 0.2266
Ncalc = 1.49 - 1.5"," Biaxial (-), a=1.471-1.48, b=1.475-1.481, g=1.476-1.485, bire=0.0050, 2V(Calc)=52-54, 2V(Meas)=52-92. Dispersion r < v moderate."
13," Na(Li,Al)3Al6(BO3)3Si6O18(OH)4", Molecular Weight = 916.68 gm, NaLi2.5Al6.5(BO3)3Si6O18(OH)4, Granitic pegmatites characterized by hydrothermal replacement., Valid Species (Pre-IMA) 1908 (Dana # Changed)," Island of Elba, Italy. Link to MinDat.org Location Data.", Named for the locality., Elbaite, Achroite - colorless," a = 15.838, c = 7.103, Z = 3; V = 1,543.03 Den(Calc)= 2.96", {1011} Indistinct," Blue, Colorless, Green, Yellow, White."," 2.9 - 3.2, Average = 3.05", Transparent to translucent to opaque, Sub Conchoidal - Fractures developed in brittle materials characterized by semi-curving surfaces., Striated - Parallel lines on crystal surface or cleavage face., 7.5 - Garnet, Vitreous (Glassy)," Fermion Index = 0.01
Boson Index = 0.99"," PEElbaite = 1.38 barns/electron
U=PEElbaite x rElectron Density= 4.03 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Elbaite is Not Radioactive", 61.03d.01.08 (61)Cyclosilicate Six-Membered Rings, 09.CK.05 09 - SILICATES (Germanates), NAME( Duda&Rejl90) PHYS. PROP.(Dana8) OPTIC PROP.(Heinrich65),Elbaite, white," CI meas= 0.028 (Excellent) - where the CI = (1-KPDmeas/KC)
CI calc= -0.002 (Superior) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2139,KPDmeas= 0.2075,KC= 0.2134
Ncalc = 1.62 - 1.68"," Uniaxial (-), e=1.615-1.632, w=1.635-1.65, bire=0.0180-0.0200."
14, Ca12Al14O33," Molecular Weight = 1,386.66 gm", Ca12Al14O33, Thermally metaborphosed inclusions of marly limestone in effusive volcanic rocks. Common component of portland cement clinker., Approved IMA 1964," Ettringer, Bellerberg, Mayen, Eifel, Rhineland-Pfalz, Germany Link to MinDat.org Location Data.", Named after the locality, Mayenite," Achtarandite - pseudomorph, probably after mayenite."," a = 11.982, Z = 2; V = 1,720.24 Den(Calc)= 2.68",, Colorless., 2.85, Transparent,, Microscopic Crystals - Crystals visible only with microscopes.,,," Fermion Index = 0.0006509855
Boson Index = 0.9993490145"," PEMayenite = 5.07 barns/electron
U=PEMayenite x rElectron Density= 14.30 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Mayenite is Not Radioactive", 07.11.03.01 (07)Multiple Oxides," 04.CC.20 04 - OXIDES (Hydroxides, V[5,6] vanadates, arsenites, antimonites, bismuthites, sulfites, selenites, tellurites, iodate"," NAME( Dana8) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Mayenite, white," CI meas= -0.082 (Poor) - where the CI = (1-KPDmeas/KC)
CI calc= -0.151 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2399,KPDmeas= 0.2256,KC= 0.2085
Ncalc = 1.56 - 1.59"," Isotropic, n=1.643."
15, Fe+++O(OH), Molecular Weight = 88.85 gm, Fe3+O(OH), Common in iron ore deposits., Valid Species (Pre-IMA) 1806," Mesabi district, Minnesota, USA. Link to MinDat.org Location Data."," Named after the German poet, J. W. Goethe (1749-1832).", Goethite, Acicular iron ore," a = 4.596, b = 9.957, c = 3.021, Z = 4; V = 138.25 Den(Calc)= 4.27"," {010} Perfect, {100} Distinct"," Brown, Reddish brown, Yellowish brown, Brownish yellow, Ocher yellow."," 3.3 - 4.3, Average = 3.8", Subtranslucent to opaque," Hackly - Jagged, torn surfaces, (e.g. fractured metals)."," Reniform - ""Kidney like"" in shape (e.g.. hematite).", 5-5.5 - Apatite-Knife Blade, Adamantine - Silky," Fermion Index = 0.01
Boson Index = 0.99"," PEGoethite = 18.93 barns/electron
U=PEGoethite x rElectron Density= 78.24 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Goethite is Not Radioactive", 06.01.01.02 (06)Hydroxides and Oxides Containing Hydroxyl," 04.FD.10 04 - OXIDES (Hydroxides, V[5,6] vanadates, arsenites, antimonites, bismuthites, sulfites, selenites, tellurites, iodate",,Goethite, yellowish brown," CI meas= -0.14 (Poor) - where the CI = (1-KPDmeas/KC)
CI calc= -0.014 (Superior) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.322,KPDmeas= 0.3618,KC= 0.3175
Ncalc = 2.05 - 2.37"," Biaxial (-), a=2.26-2.275, b=2.393-2.409, g=2.398-2.515, bire=0.1380-0.2400, 2V(Calc)=20-78, 2V(Meas)=0-27. Dispersion r > v extreme."
16, NaFe+++Si2O6, Molecular Weight = 231.00 gm, NaFe3+(Si2O6), Sodium rich igneous nepheline syenites., Valid Species (Pre-IMA) 1835," Norway, Buskerud, Kongsberg. Magnet Cove, Hot Spring County, Arkansas. Link to MinDat.org Location Data."," Named after the Teutonic god of the sea. Acmite is from the Greek ""point"" in allusion to the pointed crystals.", Aegirine, Acmite," a = 9.65, b = 8.79, c = 5.29, Z = 4; beta = 107.5° V = 427.95 Den(Calc)= 3.59"," {???} Distinct, {???} Distinct"," Green, Greenish black, Reddish brown, Black."," 3.5 - 3.54, Average = 3.52", Subtransparent to translucent to opaque, Brittle - Generally displayed by glasses and most non-metallic minerals., Acicular - Occurs as needle-like crystals., 6-6.5 - Orthoclase-Pyrite, Vitreous - Resinous," Fermion Index = 0.01
Boson Index = 0.99"," PEAegirine = 8.29 barns/electron
U=PEAegirine x rElectron Density= 28.56 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Aegirine is Not Radioactive"," 65.01.03c.02 (65)Inosilicate Single-Width Unbranched Chains, W=1", 09.DA.25 09 - SILICATES (Germanates)," NAME( Sinkankas66) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Heinrich65)",Aegirine, yellowish gray," CI meas= 0.092 (Poor) - where the CI = (1-KPDmeas/KC)
CI calc= 0.109 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.216,KPDmeas= 0.2203,KC= 0.2426
Ncalc = 1.85 - 1.87"," Biaxial (-), a=1.72-1.778, b=1.74-1.819, g=1.757-1.839, bire=0.0370-0.0610, 2V(Calc)=68-84, 2V(Meas)=60-90. Dispersion r > v."
17," Ca2(Mg,Fe++)5Si8O22(OH)2", Molecular Weight = 853.16 gm, Ca1.83Na0.22Mg3.41Fe2+1.26Al0.23Fe3+0.05Mn2+0.02Ti0.02Si7.79Al0.21O22(OH)2, Metamorphic rocks., Valid Species (Pre-IMA) 1794, Common world wide. Link to MinDat.org Location Data.," From the Greek, aktinos, meaning ""ray"" in allusion to actinolite's fibrous nature.", Actinolite + Pronunciation, Byssolite," a = 9.84, b = 18.1, c = 5.28, Z = 2; beta = 104.7° V = 909.61 Den(Calc)= 3.11"," {110} Perfect, {110} Perfect"," Green, Green black, Gray green, Black."," 2.98 - 3.1, Average = 3.04", Translucent to transparent," Splintery - Thin, elongated fractures produced by intersecting good cleavages or partings (e.g. hornblende).", Radial - Crystals radiate from a center without producing stellar forms (e.g. stibnite), 5.5 - Knife Blade, Vitreous (Glassy)," Fermion Index = 0.02
Boson Index = 0.98"," PEActinolite = 4.88 barns/electron
U=PEActinolite x rElectron Density= 14.73 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Actinolite is Not Radioactive"," 66.01.03a.02 (66)Inosilicate Double-Width Unbranched Chains, W=2", 09.DE.10 09 - SILICATES (Germanates)," NAME( Sinkankas66) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Heinrich65)",Actinolite, white," CI meas= -0.002 (Superior) - where the CI = (1-KPDmeas/KC)
CI calc= 0.021 (Excellent) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2039,KPDmeas= 0.2086,KC= 0.2082
Ncalc = 1.62 - 1.65"," Biaxial (-), a=1.613-1.628, b=1.627-1.644, g=1.638-1.655, bire=0.0250-0.0270, 2V(Calc)=78-82, 2V(Meas)=84-73. Dispersion r < v."
18, SrAlF4(OH)•(H2O), Molecular Weight = 225.62 gm, SrAlF4(OH)•(H2O)," In the Ivigtut cryolite deposit, southwestern Greenland.", Approved IMA 1987," Greenland, Ivigtut Link to MinDat.org Location Data."," From the Latin acuminis, sharp point, for spear head, the characteristic shape of the crystals.", Acuminite + Pronunciation, ICSD 33830," a = 13.223, b = 5.175, c = 14.251, Z = 8; beta = 111.61° V = 906.64 Den(Calc)= 3.31", {???} Perfect, Colorless., 3.295, Transparent,,, 3.5 - Copper Penny, Vitreous (Glassy)," Fermion Index = 0.02
Boson Index = 0.98"," PEAcuminite = 44.23 barns/electron
U=PEAcuminite x rElectron Density= 137.56 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Acuminite is Not Radioactive", 11.06.17.01 (11)Halide Complexes; Alumino-fluorides, 03.CC.10 03 - HALIDES," NAME( AntBidBlaNic3) PHYS. PROP.(Am.Min.,Vol.73,p1492,1988) OPTIC PROP.(Am.Min.,Vol.73,p1492,1988)",Acuminite, white,," Biaxial (+), a=1.4507, b=1.4528, g=1.4624-1.4627, bire=0.0117-0.0120, 2V(Calc)=50-52, 2V(Meas)=46-57."
19, Zn2(AsO4)(OH), Molecular Weight = 286.71 gm, Zn2(AsO4)(OH),, Valid Species (Pre-IMA) 1866," Chile, Atacama, Chañarcillo Link to MinDat.org Location Data.", Named after the French mineralogist Gilbert Joseph Adam (1795-1881)., Adamite, Cuproadamite - Cu-bearing adamite," a = 8.306, b = 8.524, c = 6.043, Z = 4; V = 427.85 Den(Calc)= 4.45"," {101} Good, {010} Poor"," Yellow, Green, Violet, Pink, Yellowish green."," 4.3 - 4.5, Average = 4.4", Subtransparent, Brittle - Generally displayed by glasses and most non-metallic minerals., Tabular - Form dimensions are thin in one direction., 3.5 - Copper Penny, Vitreous - Resinous," Fermion Index = 0.01
Boson Index = 0.99"," PEAdamite = 41.42 barns/electron
U=PEAdamite x rElectron Density= 172.31 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Adamite is Not Radioactive"," 41.06.06.03 (41)Anhydrous Phosphates, etc. Containing Hydroxyl or Halogen"," 08.BB.30 08 - PHOSPHATES, ARSENATES, VANADATES"," NAME( Sinkankas66) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990;Dana8) OPTIC PROP.(Sinkankas66)",Adamite, white," CI meas= -0.02 (Excellent) - where the CI = (1-KPDmeas/KC)
CI calc= -0.009 (Superior) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.1667,KPDmeas= 0.1686,KC= 0.1653
Ncalc = 1.71 - 1.74"," Biaxial (+/-), a=1.708-1.722, b=1.742-1.744, g=1.763-1.773, bire=0.0510-0.0550, 2V(Calc)=74-84, 2V(Meas)=88. Dispersion none."
20, NaY(CO3)2•6(H2O), Molecular Weight = 344.24 gm, NaY0.7Dy0.1Er0.05Gd0.04(CO3)2•6(H2O)," Late-stage, low-temperature hydrothermal phase within cavities in an alkaline pegmatite dike.", Approved IMA 1999 (Dana # Added)," Poudrette quarry, Mont Saint-Hilaire, Quebec. Link to MinDat.org Location Data."," Named for Professor Frank Dawson Adams (1859-1942) of McGill University, Montreal, Quebec.",, ICSD 90832," a = 6.262, b = 13.047, c = 13.22, Z = 4; alpha = 91.17°, beta = 103.7°, gamma = 89.99° V = 1,049.13 Den(Calc)= 2.18"," {001} Perfect, {100} Good, {010} Good"," Colorless, White, Pale pink, Pale purple.",, Translucent to transparent, Brittle - Generally displayed by glasses and most non-metallic minerals.," Spherical - Spherical, rounded aggregates.", 3 - Calcite, Vitreous - Pearly," Fermion Index = 0.03
Boson Index = 0.97"," PEAdamsite-(Y) = 87.57 barns/electron
U=PEAdamsite-(Y) x relectron= 189.50 barns/cc.",, 15.04.08.01 (15)Hydrated Carbonates, 05.CC.30 05 - CARBONATES (NITRATES)," NAME( AmMin, Vol 86, p1112) PHYS. PROP.(AmMin, Vol 86, p1112) OPTIC PROP.(AmMin, Vol 86, p1112)",Adamsite-(Y), white," CI calc= -0.036 (Excellent) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2369,KC= 0.2287
Ncalc = 1.5"," Biaxial (+), a=1.48, b=1.498, g=1.571, bire=0.0910"
21, CaMg(AsO4)(OH), Molecular Weight = 220.31 gm, CaMg(AsO4)(OH), In manganese deposits at Langban., Valid Species (Pre-IMA) 1804," Sweden, Värmland, Filipstad, Långban mn Link to MinDat.org Location Data."," From the Greek for indistinct, for its occurrence as massive.", Adelite,," a = 7.525, b = 8.85, c = 5.85, Z = 4; V = 389.59 Den(Calc)= 3.76", {???} Indistinct," Blue gray, Green, Gray, Yellow, Light green."," 3.73 - 3.79, Average = 3.76", Transparent," Conchoidal - Fractures developed in brittle materials characterized by smoothly curving surfaces, (e.g. quartz).", Massive - Uniformly indistinguishable crystals forming large masses., 5 - Apatite, Resinous," Fermion Index = 0.01
Boson Index = 0.99"," PEAdelite = 25.46 barns/electron
U=PEAdelite x rElectron Density= 92.10 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Adelite is Not Radioactive"," 41.05.01.01 (41)Anhydrous Phosphates, etc. Containing Hydroxyl or Halogen"," 08.BH.35 08 - PHOSPHATES, ARSENATES, VANADATES"," NAME( Dana8) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Adelite, white," CI meas= -0.018 (Superior) - where the CI = (1-KPDmeas/KC)
CI calc= -0.018 (Superior) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.1918,KPDmeas= 0.1918,KC= 0.1884
Ncalc = 1.7 - 1.71"," Biaxial (+), a=1.712, b=1.721, g=1.731, bire=0.0190"
22, MgB6O10•7(H2O), Molecular Weight = 375.27 gm, Mg(B6O10)•7(H2O), In a gypsum deposit., Approved IMA 1979," Austria, Schidmaur, near Admont Link to MinDat.org Location Data."," For Admont, Austria, near the original locality.", Admontite + Pronunciation, ICSD 34190," a = 12.68, b = 10.07, c = 11.32, Z = 4; beta = 109.68° V = 1,360.99 Den(Calc)= 1.83", None, Colorless.," 1.82 - 1.87, Average = 1.84", Transparent," Conchoidal - Fractures developed in brittle materials characterized by smoothly curving surfaces, (e.g. quartz).", Euhedral Crystals - Occurs as well-formed crystals showing good external form., 2-3 - Gypsum-Calcite,," Fermion Index = 0.04
Boson Index = 0.96"," PEAdmontite = 0.45 barns/electron
U=PEAdmontite x rElectron Density= 0.85 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Admontite is Not Radioactive", 26.06.03.01 (26)Hydrated Borates Containing Hydroxyl or Halogen, 06.FA.15 06 - BORATES," NAME( AntBidBlaNic5) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Admontite, white," CI meas= -0.004 (Superior) - where the CI = (1-KPDmeas/KC)
CI calc= -0.012 (Superior) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2585,KPDmeas= 0.2564,KC= 0.2554
Ncalc = 1.46 - 1.48"," Biaxial (-), a=1.442, g=1.504, bire=0.0620"
23, (NH4)4NaAl2(SO4)4Cl(OH)2, Molecular Weight = 602.83 gm, (NH4)4NaAl2(SO4)4Cl(OH)2, New structure type, Proposed IMA 2009," La Fossa crater, Vulcano, Italy Link to MinDat.org Location Data."," Commission on New Minerals, Nomenclature and Classification (CNMNC)",, IMA2008-057," a = 18.118, c = 11.32, V = 3,715.93",,,,,,,,," Fermion Index = 0.09
Boson Index = 0.91"," PEAdranosite = 1.99 barns/electron
U=PEAdranosite x rElectron Density= . barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Adranosite is Not Radioactive", 28.00.00.00 (28)Sulfate Minerals," 07.XX.00 07 - SULFATES (SELENATES, TELLURATES)",,Adranosite,,,
24, KAlSi3O8, Molecular Weight = 278.33 gm, KAlSi3O8," Intrusive and extrusive igneous, and metamorphic rocks.", Valid Species (Pre-IMA) 1823, Common world wide occurrences. Link to MinDat.org Location Data.," From the Greek orthos - ""right"" and kalo -"" I cleave"" in allusion to the mineral's right angle of good cleavage.", Orthoclase + Pronunciation, Adularia," a = 8.625, b = 12.996, c = 7.193, Z = 4; beta = 116.016° V = 724.57 Den(Calc)= 2.55"," {001} Perfect, {010} Good"," Colorless, Greenish, Grayish yellow, White, Pink.", 2.56, Transparent to translucent, Uneven - Flat surfaces (not cleavage) fractured in an uneven pattern., Prismatic - Crystals Shaped like Slender Prisms (e.g. tourmaline)., 6 - Orthoclase, Vitreous (Glassy)," Fermion Index = 0.01
Boson Index = 0.99"," PEOrthoclase = 2.85 barns/electron
U=PEOrthoclase x relectron= 7.20 barns/cc.","
GRapi = 200.97 (Gamma Ray American Petroleum Institute Units)
Concentration of Orthoclase per GRapi unit = 0.50 (%)
Estimated Radioactivity from Orthoclase - barely detectable", 76.01.01.01 (76)Tectosilicate Al-Si Framework, 09.FA.30 09 - SILICATES (Germanates),,Orthoclase, white," CI meas= 0.011 (Superior) - where the CI = (1-KPDmeas/KC)
CI calc= 0.007 (Superior) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2044,KPDmeas= 0.2036,KC= 0.2058
Ncalc = 1.52 - 1.53"," Biaxial (-), a=1.518, b=1.522, g=1.523-1.524, bire=0.0050-0.0060, 2V(Calc)=52-70, 2V(Meas)=65-75. Dispersion relatively strong."
25, Na3Ca3[Al8Si28O72]•n(H2O) (n=28-32)," Molecular Weight = 2,883.86 gm", Na3Ca3Al8Si28O72•30(H2O), Amygdaloidal cavities in basalts and similar rocks., Approved IMA 1998 (Dana # Added)," Capo Pula, Cagliari, Sardinia, Italy. Link to MinDat.org Location Data."," From the Greek stilbe - ""luster"" in allusion to the pearly to vitreous luster. The Na-dominant member of the stilbite series.", Stilbite-Na, Aedelforsite," a = 13.63, b = 18.17, c = 11.31, Z = 1; beta = 129.166° V = 2,171.67 Den(Calc)= 2.20", {010} Perfect," White, Red, Yellow, Brown, Cream."," 2.1 - 2.2, Average = 2.15", Transparent to Subtransparent to translucent," Brittle - Conchoidal - Very brittle fracture producing small, conchoidal fragments.", Wheat Sheaf - Bundle shaped aggregates resembling wheat sheafs after hand reaping wheat., 3.5-4 - Copper Penny-Fluorite, Vitreous - Pearly," Fermion Index = 0.01
Boson Index = 0.99"," PEStilbite-Na = 1.85 barns/electron
U=PEStilbite-Na x rElectron Density= 4.04 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Stilbite-Na is Not Radioactive", 77.01.04.03a (77)Tectosilicate Zeolite group, 09.GE.10 09 - SILICATES (Germanates)," NAME( Duda&Rejl90) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Dana8)",Stilbite-Na, white," CI meas= 0.017 (Superior) - where the CI = (1-KPDmeas/KC)
CI calc= 0.04 (Good) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2235,KPDmeas= 0.2287,KC= 0.2327
Ncalc = 1.49 - 1.51"," Biaxial (-), a=1.479-1.492, b=1.485-1.5, g=1.489-1.505, bire=0.0100-0.0130, 2V(Calc)=76-78, 2V(Meas)=22-79. Dispersion weak, r < v."
26, Na2[Al2Si3O10]•2(H2O), Molecular Weight = 380.22 gm, Na2Al2Si3O10•2(H2O), Occurs in the cavities of amygdaloidal basalts and other related rocks., Valid Species (Pre-IMA) 1803, Bohemia of Czechoslovakia. Link to MinDat.org Location Data.," From the Greek natron, ""soda,"" in allusion to sodium content and lithos - ""stone.""", Natrolite + Pronunciation, Aedelite," a = 18.27, b = 18.587, c = 6.56, Z = 8; V = 2,227.67 Den(Calc)= 2.27"," {110} Perfect, {010} Imperfect"," White, Colorless, Red, Yellowish white, Reddish white.", 2.25, Transparent to translucent, Brittle - Generally displayed by glasses and most non-metallic minerals., Prismatic - Crystals Shaped like Slender Prisms (e.g. tourmaline)., 5.5-6 - Knife Blade-Orthoclase, Vitreous - Silky," Fermion Index = 0.01
Boson Index = 0.99"," PENatrolite = 1.48 barns/electron
U=PENatrolite x rElectron Density= 3.32 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Natrolite is Not Radioactive", 77.01.05.01 (77)Tectosilicate Zeolite group, 09.GA.05 09 - SILICATES (Germanates),,Natrolite, white," CI meas= 0.006 (Superior) - where the CI = (1-KPDmeas/KC)
CI calc= 0.015 (Superior) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2141,KPDmeas= 0.216,KC= 0.2173
Ncalc = 1.49"," Biaxial (+), a=1.473-1.489, b=1.476-1.491, g=1.485-1.502, bire=0.0120-0.0130, 2V(Calc)=48-62, 2V(Meas)=60-63. Dispersion weak, r < v."
27," (Ca,Na)(Mg,Fe++,Fe+++)[Si2O6]", Molecular Weight = 228.05 gm, Ca0.75Na0.25Mg0.5Fe2+0.25Fe3+0.25(Si2O6)," Characteristic mineral of alkaline rocks, particularly syenites and iron-rich metamorphic and metasomatic rocks.", Not Approved IMA 1950, Common world-wide. Link to MinDat.org Location Data., Name derived from its intermediate pyroxene composition. This is not an end-member species., Aegirine-augite,," a = 9.68, b = 8.79, c = 5.26, Z = 4; beta = 105° V = 432.31 Den(Calc)= 3.50"," {110} Very Good, {100} Parting"," Dark green, Black, Green, Pale greenish yellow, Greenish gray."," 3.4 - 3.6, Average = 3.5", Translucent to opaque, Brittle - Splintery - Brittle fracture leaving splintery fragments., Prismatic - Crystals Shaped like Slender Prisms (e.g. tourmaline)., 6 - Orthoclase, Vitreous (Glassy)," Fermion Index = 0.01
Boson Index = 0.99"," PEAegirine-augite = 6.34 barns/electron
U=PEAegirine-augite x rElectron Density= 21.94 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Aegirine-augite is Not Radioactive"," 65.01.03b.02 (65)Inosilicate Single-Width Unbranched Chains, W=1", 09.DA.20 09 - SILICATES (Germanates), NAME( Dana8) PHYS. PROP.(Dana8) OPTIC PROP.(Dana8),Aegirine-augite,," CI meas= 0 (Superior) - where the CI = (1-KPDmeas/KC)
CI calc= 0 (Superior) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2149,KPDmeas= 0.2149,KC= 0.2148
Ncalc = 1.73 - 1.77"," Biaxial (-), a=1.7-1.76, b=1.71-1.8, g=1.73-1.813, bire=0.0300-0.0530, 2V(Calc)=58-72, 2V(Meas)=70-110. Dispersion r > v moderate."
