,name,image,caption,category,formula,strunz,system,dana,class,symmetry,unit cell,habit,cleavage,mohs,luster,opticalprop,refractive,birefringence,streak,density,diaphaneity,impurities,colour,post_town,var6text,postcode_district,polish,population,unitary_scotland,diagnostic,melt,death_place,birth_place,field,var1,var4,official_name,dispersion,coordinates,static_image_caption,country,fluorescence,color,boxtextcolor,known_for,solubility,lieutenancy_scotland,alteration,var3text,constituency_scottish_parliament,birth_date,count,other,residence,var5,twinning,image_size,imagesize,alt,fusibility,fracture,tenacity,var6,os_grid_reference,var1text,var5text,molweight,gravity,death_date,absorption,var4text,postcode_area,prop1,pleochroism,prop1text,var3,constituency_westminster,lustre,2V,boxwidth,boxes,boxbgcolor,var2text,references,var2
117,'''Fluor-liddicoatite''',Liddicoatite-t5151b.jpg,"Liddicoatite from the Ambesabora [[pegmatite]], Madagascar.  Photo Rob Lavinsky",Cyclosilicate <br/>[[Tourmaline]] Group,Ca(Li<sub>2</sub>Al)Al<sub>6</sub>(BO<sub>3</sub>)<sub>3</sub>Si<sub>6</sub>O<sub>18</sub>(OH)<sub>3</sub>F,9.CK.05 (10 ed) <br /><small>8/E.19-80 (8 ed)</small>,[[Trigonal]],61.3.1.2,Ditrigonal pyramidal (3m) <br/><small>(same [[H-M symbol]])</small>,''R3m'',,"Stout prismatic, with a curved convex trigonal outline",Poor or absent on {0001},{{frac|7|1|2}},Vitreous,Uniaxial (-),"N<sub>o</sub> = 1.637, N<sub>e</sub> = 1.621",,White to very light brown,,Transparent to translucent,,,,,,,,,,,,,,,,,,,,,,"Usually smoky brown, but also pink, red, green, blue, or rarely white.",,,,,,,,,,"Not fluorescent, not radioactive",,,,,,,,Uneven to conchoidal,Brittle,,,,,945.8 g/mol,3.02,,,,,,"Strong: O dark brown or pink, E light brown or pale pink",,,,,,,,,,,
118,Fluor-uvite,Uvite sur quartz (Brésil) 4.JPG,Uvite on quartz,[[Cyclosilicate]]<br/>[[tourmaline]] group,CaMg<sub>3</sub>(Al<sub>5</sub>Mg)(Si<sub>6</sub>O<sub>18</sub>)(BO<sub>3</sub>)<sub>3</sub>(OH)<sub>3</sub>F,9.CK.05,[[Trigonal]],,Ditrigonal pyramidal (3m) <br/>[[H-M symbol]]: (3m),''R3m'',,,None Observed,7.5,"Vitreous, Resinous",Uniaxial (-),,δ = 0.018 - 0.029,"Light-brown, light-green, or white",2.97 - 3.14 g/cm3,"Transparent, Translucent",,,,,,,,,,,,,,,,,,,,,,"Black, greenish-black, brownish-black, brown, green, colorless",,,,,,,,,,,,,,,260px,,,"Irregular/Uneven, Conchoidal",Brittle,,,,,,,,,,,,Weak,,,,,,,,,,,
119,Tourmaline,Tourmaline-121240.jpg,,[[Cyclosilicate]],"{{chem2|(Ca,K,Na,[[vacancy defect|▢]])(Al,Fe,Li,Mg,Mn)3(Al,Cr, Fe,V)6(BO3)3(Si,Al,B)6O18(OH,F)4}}",,[[Trigonal]],,Ditrigonal pyramidal (3m)<br>[[H-M symbol]]: (3m),''R3m'' (no. 160),,"Parallel and elongated. Acicular prisms, sometimes radiating. Massive. Scattered grains (in granite).",Indistinct,7.0–7.5,"Vitreous, sometimes resinous","Double refractive, uniaxial negative",nω=1.635–1.675<br>nε=1.610–1.650,-0.018 to −0.040; typically about .020 but in dark stones it may reach .040,White,2.82–3.32,Translucent to opaque,,,,,,Vitreous,,,,,,,,,,,.017,,,,pink stones—inert to very weak red to violet in long and short wave,"Most commonly black, but can range from colorless to brown, red, orange, yellow, green, blue, violet, pink, or hues in between; can be bi-colored, or even tri-colored; rarely can be neon green or electric blue",,,,,,,,,,,,,,,,"A stone cut open and polished, revealing a bright rainbow of colors",,"Uneven, small conchoidal, brittle",Brittle,,,,,,3.06 (+.20 -.06),,"Strong narrow band at 498 nm, and almost complete absorption of red down to 640&nbsp;nm in blue and green stones; red and pink stones show lines at 458 and 451&nbsp;nm as well as a broad band in the green spectrum",,,,"{{plainlist|
*Typically moderate to strong|ref| name=""GRG"" |
*Red: definite; dark red, light red
*Green: strong; dark green, yellow-green
*Brown: definite; dark brown, light brown
*Blue: strong; dark blue, light blue}} *Red: definite; dark red, light red
*Green: strong; dark green, yellow-green
*Brown: definite; dark brown, light brown
*Blue: strong; dark blue, light blue",,,,,,,,#a7a927,,,
120,Fluor-buergerite,Buergerite-179849.jpg,,[[Cyclosilicate]] <br/>[[tourmaline]],"NaFe<sup>3+</sup><sub>3</sub>Al<sub>6</sub>(BO<sub>3</sub>)<sub>3</sub>Si<sub>6</sub>O<sub>18</sub>(O,F,OH)<sub>4</sub>",9.CK.05,[[Trigonal]],,Ditrigonal pyramidal (3m) <br/>[[H-M symbol]]: (3m),''R3m'',,,Distinct prismatic,7,,Uniaxial (-),nω = 1.735 nε = 1.655,δ = 0.080,yellowish brown,,Translucent,,,,,,,,,,,,,,,,,,,,,,"Bronze, Dark Brown, Black, Dark Purple",,,,,,,,,,[[Pyroelectricity|Pyroelectric]] and [[Piezoelectricity|piezoelectric]],,,,,170px,,,,,,,,,,3.31,,,,,,,,,,,,,,,,,
121,,Povondraite-657308.jpg,"The crystals here are black, lustrous, and 1-2mm in size. They richly cover one side of the matrix, and the povondraite winds its way through the fissures in the rock.",Cyclosilicates,{{Format molecular formula|NaFe3+3(Mg2Fe3+4)(Si6O18)(BO3)3(OH)3O}},8/E.19-75,Hexagonal-Rhomboidal,61.3.1.6,Hemimorphic trigonal,''R3m'' (No. 160),"a=16.18Å, c=7.44Å","Prismatic, striated",None observed,7,Resinous,,1.74 - 1.82,0.069,Brown,,Translucent,"K,Mg,Al,Cu,Pb,Sn,Ti,V,H2O","Dark brown to brown-black, black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Irregular, conchoidal",Brittle,,,,,1156.50 gm,,,,,,,,,,,,,,,,,,
122,Tourmaline,Tourmaline-121240.jpg,,[[Cyclosilicate]],"{{chem2|(Ca,K,Na,[[vacancy defect|▢]])(Al,Fe,Li,Mg,Mn)3(Al,Cr, Fe,V)6(BO3)3(Si,Al,B)6O18(OH,F)4}}",,[[Trigonal]],,Ditrigonal pyramidal (3m)<br>[[H-M symbol]]: (3m),''R3m'' (no. 160),,"Parallel and elongated. Acicular prisms, sometimes radiating. Massive. Scattered grains (in granite).",Indistinct,7.0–7.5,"Vitreous, sometimes resinous","Double refractive, uniaxial negative",nω=1.635–1.675<br>nε=1.610–1.650,-0.018 to −0.040; typically about .020 but in dark stones it may reach .040,White,2.82–3.32,Translucent to opaque,,,,,,Vitreous,,,,,,,,,,,.017,,,,pink stones—inert to very weak red to violet in long and short wave,"Most commonly black, but can range from colorless to brown, red, orange, yellow, green, blue, violet, pink, or hues in between; can be bi-colored, or even tri-colored; rarely can be neon green or electric blue",,,,,,,,,,,,,,,,"A stone cut open and polished, revealing a bright rainbow of colors",,"Uneven, small conchoidal, brittle",Brittle,,,,,,3.06 (+.20 -.06),,"Strong narrow band at 498 nm, and almost complete absorption of red down to 640&nbsp;nm in blue and green stones; red and pink stones show lines at 458 and 451&nbsp;nm as well as a broad band in the green spectrum",,,,"{{plainlist|
*Typically moderate to strong|ref| name=""GRG"" |
*Red: definite; dark red, light red
*Green: strong; dark green, yellow-green
*Brown: definite; dark brown, light brown
*Blue: strong; dark blue, light blue}} *Red: definite; dark red, light red
*Green: strong; dark green, yellow-green
*Brown: definite; dark brown, light brown
*Blue: strong; dark blue, light blue",,,,,,,,#a7a927,,,
123,Tourmaline,Tourmaline-121240.jpg,,[[Cyclosilicate]],"{{chem2|(Ca,K,Na,[[vacancy defect|▢]])(Al,Fe,Li,Mg,Mn)3(Al,Cr, Fe,V)6(BO3)3(Si,Al,B)6O18(OH,F)4}}",,[[Trigonal]],,Ditrigonal pyramidal (3m)<br>[[H-M symbol]]: (3m),''R3m'' (no. 160),,"Parallel and elongated. Acicular prisms, sometimes radiating. Massive. Scattered grains (in granite).",Indistinct,7.0–7.5,"Vitreous, sometimes resinous","Double refractive, uniaxial negative",nω=1.635–1.675<br>nε=1.610–1.650,-0.018 to −0.040; typically about .020 but in dark stones it may reach .040,White,2.82–3.32,Translucent to opaque,,,,,,Vitreous,,,,,,,,,,,.017,,,,pink stones—inert to very weak red to violet in long and short wave,"Most commonly black, but can range from colorless to brown, red, orange, yellow, green, blue, violet, pink, or hues in between; can be bi-colored, or even tri-colored; rarely can be neon green or electric blue",,,,,,,,,,,,,,,,"A stone cut open and polished, revealing a bright rainbow of colors",,"Uneven, small conchoidal, brittle",Brittle,,,,,,3.06 (+.20 -.06),,"Strong narrow band at 498 nm, and almost complete absorption of red down to 640&nbsp;nm in blue and green stones; red and pink stones show lines at 458 and 451&nbsp;nm as well as a broad band in the green spectrum",,,,"{{plainlist|
*Typically moderate to strong|ref| name=""GRG"" |
*Red: definite; dark red, light red
*Green: strong; dark green, yellow-green
*Brown: definite; dark brown, light brown
*Blue: strong; dark blue, light blue}} *Red: definite; dark red, light red
*Green: strong; dark green, yellow-green
*Brown: definite; dark brown, light brown
*Blue: strong; dark blue, light blue",,,,,,,,#a7a927,,,
124,Elbaite,"Elbaite with albite - São José da Safira, Minas Gerais, Brazil.jpg",,[[Cyclosilicate]],Na(Li<sub>1.5</sub>Al<sub>1.5</sub>)Al<sub>6</sub>Si<sub>6</sub>O<sub>18</sub>(BO<sub>3</sub>)<sub>3</sub>(OH)<sub>4</sub>,9.CK.05,[[Trigonal]],,Ditrigonal pyramidal (3m) <br/>[[H-M symbol]]: (3m),''R''3m,,Prismatic; striated,Poor/indistinct on {1120} and {1011},{{frac|7|1|2}},Vitreous,Uniaxial (-),"n<sub>ω</sub> = 1.635–1.650, n<sub>ε</sub> = 1.615–1.632",δ = 0.020,White,2.9–3.2,Transparent to opaque,,,,,,,,,,,,,,Achroite,Verdelite,,,,,,,"Green, red to pink, blue, orange, yellow, colorless, multicolored",,,,,,red to pink,,,,[[Piezoelectricity|piezoelectric]] and [[Pyroelectricity|pyroelectric]],,,,,280px,,,Sub-conchoidal,,,,colorless,,,,,,green,,,,,Rubellite,,,,,,,blue,,Indicolite
125,Tourmaline,Tourmaline-121240.jpg,,[[Cyclosilicate]],"{{chem2|(Ca,K,Na,[[vacancy defect|▢]])(Al,Fe,Li,Mg,Mn)3(Al,Cr, Fe,V)6(BO3)3(Si,Al,B)6O18(OH,F)4}}",,[[Trigonal]],,Ditrigonal pyramidal (3m)<br>[[H-M symbol]]: (3m),''R3m'' (no. 160),,"Parallel and elongated. Acicular prisms, sometimes radiating. Massive. Scattered grains (in granite).",Indistinct,7.0–7.5,"Vitreous, sometimes resinous","Double refractive, uniaxial negative",nω=1.635–1.675<br>nε=1.610–1.650,-0.018 to −0.040; typically about .020 but in dark stones it may reach .040,White,2.82–3.32,Translucent to opaque,,,,,,Vitreous,,,,,,,,,,,.017,,,,pink stones—inert to very weak red to violet in long and short wave,"Most commonly black, but can range from colorless to brown, red, orange, yellow, green, blue, violet, pink, or hues in between; can be bi-colored, or even tri-colored; rarely can be neon green or electric blue",,,,,,,,,,,,,,,,"A stone cut open and polished, revealing a bright rainbow of colors",,"Uneven, small conchoidal, brittle",Brittle,,,,,,3.06 (+.20 -.06),,"Strong narrow band at 498 nm, and almost complete absorption of red down to 640&nbsp;nm in blue and green stones; red and pink stones show lines at 458 and 451&nbsp;nm as well as a broad band in the green spectrum",,,,"{{plainlist|
*Typically moderate to strong|ref| name=""GRG"" |
*Red: definite; dark red, light red
*Green: strong; dark green, yellow-green
*Brown: definite; dark brown, light brown
*Blue: strong; dark blue, light blue}} *Red: definite; dark red, light red
*Green: strong; dark green, yellow-green
*Brown: definite; dark brown, light brown
*Blue: strong; dark blue, light blue",,,,,,,,#a7a927,,,
126,Tourmaline,Tourmaline-121240.jpg,,[[Cyclosilicate]],"{{chem2|(Ca,K,Na,[[vacancy defect|▢]])(Al,Fe,Li,Mg,Mn)3(Al,Cr, Fe,V)6(BO3)3(Si,Al,B)6O18(OH,F)4}}",,[[Trigonal]],,Ditrigonal pyramidal (3m)<br>[[H-M symbol]]: (3m),''R3m'' (no. 160),,"Parallel and elongated. Acicular prisms, sometimes radiating. Massive. Scattered grains (in granite).",Indistinct,7.0–7.5,"Vitreous, sometimes resinous","Double refractive, uniaxial negative",nω=1.635–1.675<br>nε=1.610–1.650,-0.018 to −0.040; typically about .020 but in dark stones it may reach .040,White,2.82–3.32,Translucent to opaque,,,,,,Vitreous,,,,,,,,,,,.017,,,,pink stones—inert to very weak red to violet in long and short wave,"Most commonly black, but can range from colorless to brown, red, orange, yellow, green, blue, violet, pink, or hues in between; can be bi-colored, or even tri-colored; rarely can be neon green or electric blue",,,,,,,,,,,,,,,,"A stone cut open and polished, revealing a bright rainbow of colors",,"Uneven, small conchoidal, brittle",Brittle,,,,,,3.06 (+.20 -.06),,"Strong narrow band at 498 nm, and almost complete absorption of red down to 640&nbsp;nm in blue and green stones; red and pink stones show lines at 458 and 451&nbsp;nm as well as a broad band in the green spectrum",,,,"{{plainlist|
*Typically moderate to strong|ref| name=""GRG"" |
*Red: definite; dark red, light red
*Green: strong; dark green, yellow-green
*Brown: definite; dark brown, light brown
*Blue: strong; dark blue, light blue}} *Red: definite; dark red, light red
*Green: strong; dark green, yellow-green
*Brown: definite; dark brown, light brown
*Blue: strong; dark blue, light blue",,,,,,,,#a7a927,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Carbokentbrooksite,,,"[[Silicate mineral]], [[Cyclosilicate]]","(Na,[])<sub>12</sub>(Na,Ce)<sub>3</sub>Ca<sub>6</sub>Mn<sub>3</sub>Zr<sub>3</sub>Nb(Si<sub>25</sub>O<sub>73</sub>)(OH)<sub>3</sub>(CO<sub>3</sub>)•H<sub>2</sub>O (original form)",9.CO.10 (10 ed) <br/><small>8/E.25-32 (8 ed)</small>,[[Trigonal]],64.1.2.3,Ditrigonal pyramidal (3m) <br/><small>(same [[H-M symbol]])</small>,''R3m'',"a = 14.24, c = 30.04&nbsp;[Å]; Z&nbsp;=&nbsp;3",rhombohedra (cores of zoned crystals),None,5,Vitreous,Uniaxial (-),"nω=1.65, nε=1.64 (approximated)",,White,3.14 (measured),Transparent,,,,,,,,,,,,,,,,,,,,,No,"Yellow, yellow-orange",,,,,,,,,,,,,,,,,,Conchoidal,Brittle,,,,,,,,,,,,None,,,,,,,,,,,
130,Eudialyte,Eudialyte-163974.jpg,,[[Cyclosilicate]],"Na<sub>15</sub>Ca<sub>6</sub>(Fe,Mn)<sub>3</sub>Zr<sub>3</sub>SiO(O,OH,H<sub>2</sub>O)<sub>3</sub><br>(Si<sub>3</sub>O<sub>9</sub>)<sub>2</sub>(Si<sub>9</sub>O<sub>27</sub>)<sub>2</sub>(OH,Cl)<sub>2</sub>",9.CO.10,[[Trigonal]],,Hexagonal scalenohedral ( {{overline|3}} m) <br/>[[H-M symbol]]: ( {{overline|3}} 2/m),''R'' {{overline|3}} m,"a = 14.31, c = 30.15&nbsp;[Å]; Z&nbsp;=&nbsp;12","Crystals short rhombohedral to long prismatic, granular, irregular masses",Distinct on {0001} imperfect on {11 {{overline|2}} 0},5 - 6,Vitreous,Uniaxial (+/-),n<sub>ω</sub> = 1.606–1.610 n<sub>ε</sub> = 1.610–1.613,δ = 0.004,White,,Transparent to translucent,,,,,,,,,,,,,,,,,,,,,,"Red, magenta, brown; also blue and yellow",,,[[sulfuric acid|H<sub>2</sub>SO<sub>4</sub>]],,,,,,,Mildly [[Image:Radioactive.svg|25px]] [[Radioactive]],,,,,290px,,,Uneven,Brittle,,,,,,2.74–3.10,,,,,,"Weak: O= colorless, pale yellow, pink; E= pink to colorless",,,,,,,,,,,
131,Feklichevite,,,[[Cyclosilicate]],"Na<sub>11</sub>Ca<sub>9</sub>(Fe<sup>3+</sup>,Fe<sup>2+</sup>)<sub>2</sub>Zr<sub>3</sub>Nb[Si<sub>25</sub>O<sub>73</sub>](OH,H<sub>2</sub>O,Cl,O)<sub>5</sub> (original form)",9.CO.10,[[Trigonal]],64.1.7.,Ditrigonal pyramidal (3m) <br/>[[H-M symbol]]: (3m),''R3m'',"a = 14.26, c = 30.17&nbsp;[Å] (approximated); Z&nbsp;=&nbsp;3","isometric, thick-tabular; grains","(001), perfect",5.5,Vitreous,Uniaxial (+),"nω=1.61, nε=1.61 (approximated)",,Brownish,2.87 (approximated),Transparent or Translucent,"Mn, F",,,,,,,,,,,,,,,,,,,,No,Dark brown,,,,,,,,,,,,,,,,,,,Brittle,,,,,,,,,,,,None,,,,,,,,,,,
132,Ferrokentbrooksite,"Ferrokentbrooksite, Amphibole Supergroup-166795.jpg","Ferrokentbrooksite, Amphibole Supergroup-166795",[[Cyclosilicate]],"{{chem2|Na15Ca6(Fe,Mn)3Zr3NbSi25O73(O,OH,H2O)3(Cl,F,OH)2}} (original form)",9.CO.10 (10 ed) <br/><small>8/E.23-15 (8 ed)</small>,[[Trigonal]],64.1.2.2,Ditrigonal pyramidal (3m) <br/>[[H-M symbol]]: (3m),''R3m'',"a = 14.25, c = 30.03&nbsp;[Å] (approximated); Z&nbsp;=&nbsp;3",pseudo-octahedra,No,,Vitreous,,"nω 1.62, nε=1.62 (approximated)",,White,,Transparent,"REE (mainly Ce and Y), K, Sr",,,,,,,,,,,,,,,,,,,,,Reddish brown to red,,,,,,,,,,,,,,,,,,Uneven to conchoidal,,,,,,,,,,,,,,,,,,,,,,,,
133,Georgbarsanovite,Georgbarsanovite.jpg,Georgbarsanovite,"[[Silicate mineral]], [[Cyclosilicate]]","{{chem2|Na12(Mn,Sr,REE)3Ca6Fe3^{2+}Zr3NbSi25O76Cl2*H2O}} (original form)",9.CO.10 (10 ed) <br/><small>8/E.23-15 (8 ed)</small>,[[Trigonal]],64.1.2.2,Ditrigonal pyramidal (3m) <br/><small>(same [[H-M symbol]])</small>,''R3m'',"a = 14.26, c = 29.95&nbsp;[Å] (approximated); Z&nbsp;=&nbsp;3",pseudo-octahedra,No,,Vitreous,Uniaxial (-),"nω 1.64, nε=1.63 (approximated)",,White,,Transparent,"F, K, Y",,,,,,,,,,,,,,,,,,,,,Yellow-green,,,,,,,,,,,,,,,,,,Uneven,Brittle,,,,,,,,,,,,green to pale yellow,,,,,,,,,,,
134,Golyshevite,Golyshevite.jpg,"Golyshevite crystals in matrix, some of them showing a pseudohexagonal section, with the typical yellowish-brown zircon-like colour.  Locality: Kovdor Phlogopite Mine, Kovdor Massif, Northern Region, [[Russian Federation]]
Size: 2.3 × 2.1 × 1.5 cm","[[Silicate mineral]], [[Cyclosilicate]]","(Na,Ca)<sub>10</sub>Ca<sub>9</sub>(Fe<sup>3+</sup>,Fe<sup>2+</sup>)<sub>2</sub>Zr<sub>3</sub>NbSi<sub>25</sub>O<sub>72</sub>(CO<sub>3</sub>)(OH)<sub>3</sub>·H<sub>2</sub>O (original form)",9.CO.10,[[Trigonal]],64.1.6,Ditrigonal pyramidal (3m) <br/><small>(same [[H-M symbol]])</small>,''R3m'',a = 14.23 <br/>c = 29.98&nbsp;[Å] (approximated); Z&nbsp;=&nbsp;3,grains and crystals,No,,,Uniaxial (-),"nω 1.62, nε=1.61 (approximated)",,,,,,,,,,,,,,,,,,,,,,,,,,Brown to reddish-brown,,,,,,,,,,,,,,,,,,,Brittle,,,,,,2.89 (measured),,,,,,green to pale yellow,,,,,,,,,,,
135,Ikranite,"Ikranite, Aegirine-136174.jpg",Brown- yellow ikranite and aegirine fibers (field of view: c. 13 x 11 mm),[[Cyclosilicate]] <br/>Eudialyte group,"{{chem2|(Na,H3O)15(Ca,Mn,REE)6Fe2(3+)Zr3([ ],Zr)([ ],Si)Si24O66(O,OH)6Cl_{2-3}H2O}}",9.CO.10,[[Trigonal]],64.1.1.08,Ditrigonal pyramidal (3m) <br/>[[H-M symbol]]: (3m),''R3m'',"a = 14.167, c = 30.081&nbsp;[Å]; Z&nbsp;=&nbsp;3",Pseudo-hexagonal,None,5,Vitreous,Uniaxial; Weak anomalous biaxiality,,,White,2.82&nbsp;g/cm<sup>3</sup>,Transparent,,,,,,,,,,,,,,,,,,,,,,Yellow to brownish yellow,,,,,,,,,,Mildly [[Image:Radioactive.svg|25px]] [[Radioactive]],,,,,,,,Conchoidal,Brittle,,,,,,,,,,,,,,,,,,,,orange,,,
136,Johnsenite-(Ce),,,[[Cyclosilicate]],"{{chem2|Na12(Ce,La,Sr,Ca,[ ])3Ca6Mn3Zr3WSi(Si9O27)2(Si3O9)2(CO3)O(OH,Cl)2}} (original form)",9.CO.10 (10 ed) <br/><small>8/E.25-57 (8 ed)</small>,[[Trigonal]],64.1.2.7,Hexagonal scalenohedral ( {{overline|3}} m) <br/>[[H-M symbol]]: ( {{overline|3}} 2m),''R'' {{overline|3}} m,"a = 14.24, c = 30.03&nbsp;[Å] (approximated); Z&nbsp;=&nbsp;3",skeletal crystals (etched); aggregates,None,5-6,Vitreous,Uniaxial (-),"nω=1.65, nε=1.64 (approximated)",,White,3.24 (measured),Transparent or Translucent,,,,,,,,,,,,,,,,,,,,,,Pale yellow to bright orange,,,,,,,,,,,,,,,,,,Uneven,Brittle,,,,,,,,,,,,None,,,,,,,,,,,
137,Kentbrooksite,Terskite & Kentbrooksite.jpg,,"[[Silicate mineral]], [[Cyclosilicate]]","{{chem2|(Na,REE)15(Ca,REE)6Mn3Zr3NbSi25O74F2*2H2O}} (original form)",9.CO.10 (10 ed) <br/><small>8/E.23-20 (8 ed)</small>,[[Trigonal]],64.1.2.1,Ditrigonal pyramidal (3m) <br/>[[H-M symbol]]: (3m),''R3m'',"a = 14.24, c = 30.03&nbsp;[Å] (approximated); Z&nbsp;=&nbsp;3",aggregates (anhedral to subhedral),None,5-6,Vitreous,Uniaxial (-),"nω=1.63, nε=1.62 (approximated)",,White,3.10 (measured),Transparent,,,,,,,,,,,,,,,,,,,,,,Yellow-brown,,,,,,,,,,[[Pyroelectricity|Pyroelectric]],,,,,,,,Uneven,Brittle,,,,,,,,,,,,None,,,,,,,,,,,
138,Khomyakovite,Khomyakovite-166793.jpg,,"[[Silicate mineral]], [[Cyclosilicate]]","{{chem2|Na12Sr3Ca6Fe3Zr3W(Si25O73)(O,OH,H2O)3(OH,Cl)2}} (original form)",9.CO.10 (10 ed) <br/><small>8/E.23-30 (8 ed)</small>,[[Trigonal]],64.1.2.5,Ditrigonal pyramidal (3m) <br/>[[H-M symbol]]: (3m),''R3m'',"a = 14.30, c = 30.08&nbsp;[Å] (approximated); Z&nbsp;=&nbsp;3",aggregates (anhedral to subhedral),None,5-6,Vitreous,Uniaxial (-),"nω=1.63, nε=1.63 (approximated)",,White,3.14 (calculated),Transparent to translucent,,,,,,,,,,,,,,,,,,,,,,Orange to orange-red,,,,,,,,,,,,,,,,,,Uneven,Brittle,,,,,,,,,,,,None,,,,,,,,,,,
139,Manganokhomyakovite,"Manganokhomyakovite, Ferrokentbrooksite-279269.jpg",Manganokhomyakovite,[[Cyclosilicate]]s,"{{chem2|Na12Sr3Ca6Mn3Zr3W(Si25O73)(O,OH,H2O)3(OH,Cl)2}} (original form)",9.CO.10 (10 ed) <br/><small>8/E.23-35 (8 ed)</small>,[[Trigonal]],64.1.2.6,Ditrigonal pyramidal (3m) <br/><small>(same [[H-M symbol]])</small>,''R3m'',"a = 14.28, c = 30.12&nbsp;[Å] (approximated); Z&nbsp;=&nbsp;3",pseudo-octahedra,None,5-6,Vitreous,Uniaxial (-),"nω=1.63, nε=1.63 (approximated)",,White,"3.13 (measured), 3.17 (calculated)",Transparent to translucent,,,,,,,,,,,,,,,,,,,,,,Orange to orange-red,,,,,,,,,,,,,,,,,,Uneven,Brittle,,,,,,,,,,,,None,,,,,,,,,,,
140,Mogovidite,,,[[Cyclosilicate]],"{{chem2|Na9(Ca,Na)6Ca6(Fe^{3+},Fe^{2+})2Zr3[]Si25O72(CO3)(OH,H2O)4}} (original form)",9.CO.10,[[Trigonal]],64.1.6,Hexagonal scalenohedral ( {{overline|3}} m) <br/>[[H-M symbol]]: ( {{overline|3}} 2/m),''R'' {{overline|3}} m,"a = 14.23, <br/>c = 29.98&nbsp;[Å] (approximated); Z&nbsp;=&nbsp;3",grains and crystals,No,,,Uniaxial (-),"nω 1.62, nε=1.61 (approximated)",,,2.91 (measured),,,,,,,,,,,,,,,,,,,,,,,Brown to reddish-brown,,,,,,,,,,,,,,,,,,,Brittle,,,,,,,,,,,,,,,,,,,,,,,
141,Oneillite,,,"[[Silicate mineral]], [[Cyclosilicate]]","{{chem2|Na15Ca3Mn3Fe3Zr3Nb(Si25O73)(O,OH,H2O)3(OH,Cl)2}} (original form)",9.CO.10,[[Trigonal]],,Pyramidal (3) <br/>[[H-M symbol]]: (3),''R''3,"a = 14.19, c = 29.98&nbsp; [Å], Z&nbsp;=&nbsp;3 (approximated)",anhedral grains,None,5-6,Vitreous,Uniaxial (-),nω=1.65 nε=1.64 (approximated),,White,3.20 g/cm<sup>3</sup> (measured),Transparent or translucent,,,,,,,,,,,,,,,,,,,,,,Yellowish brown,,,,,,,,,,,,,,,,,,Uneven,Brittle,,,,,,,,,,,,None,,,,,,,,,,,
142,Raslakite,Raslakite.jpg,"Red glassy raslakite in nepheline-syenite from the type locality: Karnasurt Mountain, Lovozero Massif, Northern Region, Russian Federation.","[[Silicate mineral]], [[Cyclosilicate]]","{{chem2|Na15Ca3Fe3(Na,Zr)3Zr3(Si,Nb)(Si25O73)(OH,H2O)3(Cl,OH)}} (original form)",9.CO.10,[[Trigonal]],,Pyramidal (3) <br/>[[H-M symbol]]: (3),''R''3,"a = 14.23, c = 30.02&nbsp;[Å]; Z&nbsp;=&nbsp;3",Grains,Imperfect,5,Vitreous,Uniaxial,"nω=1.61, nε=1.61 (approximated)",,White,,Transparent,,,,,,,,,,,,,,,,,,,,,,Brownish-red,,,,,,,,,,,,,,,,,,Conchoidal,Brittle,,,,,,2.95 (measured),,,,,,,,,,,,,,,,,
143,Rastsvetaevite,Rastsvetaevite-292890.jpg,"Tiny dark pink grains of rastsvetaevite in matrix. Field of view 3 mm. From: Rasvumchorr Mt, Khibiny Massif, Murmansk Oblast, Russia","[[Silicate mineral]], [[Cyclosilicate]]",,9.CO.10,[[Trigonal]],64.1b.1.2,Ditrigonal pyramidal (3m) <br/>[[H-M symbol]]: (3m),''R''3''m'',"a = 14.25, c = 60.97&nbsp;[Å] (approximated); Z&nbsp;=&nbsp;3",irregular grains,,5-6,Vitreous,Uniaxial (+),nω=1.60 nε = 1.60 (approximated),,White,,Transparent,,,,,,,,,,,,,,,,,,,,,,Reddish-pink,,,,,,,,,,,,,,,,,,Conchoidal,Brittle,,,,,,2.86,,,,,,,,,,,,,,,,,
144,Taseqite,,,"[[Silicate mineral]], [[Cyclosilicate]]","{{chem2|Na12Sr3Ca6Fe3Zr3NbSi25O73)(O,OH,H2O)3Cl2}} (original form)",9.CO.10,[[Trigonal]],,Ditrigonal pyramidal (3m) <br/>[[H-M symbol]]: (3m),''R3m'',"a= 14.28, c= 30.02&nbsp;[Å]; Z&nbsp;=&nbsp;3",Thin tablets,"{0001}, fair",5.5,Vitreous,Uniaxial,"nω=1.64, nε=1.65 (approximated)",,Brownish-white,3.24 g/cm<sup>3</sup> (measured),Transparent,,,,,,,,,,,,,,,,,,,,,,Dark- to yellowish-brown; lemon yellow,,,,,,,,,,,,,,,,,,Conchoidal,Brittle,,,,,,,,,,,,,,,,,,,,,,,
